concurrency,amortization_factor,journeys_per_user,total_txs,total_gas,total_blocks,total_time,tps,gas_per_sec,makespan_seconds
50,1,5,1250,38766780,71,852,1.4671361502347418,45500.91549295775,351.236713886261
100,1,5,2483,77020604,97,1164,2.1331615120274914,66168.90378006872,459.6847116947174
150,1,5,3750,116299860,141,1692,2.2163120567375887,68735.14184397164,641.2169449329376
50,5,5,2250,98824780,145,1740,1.293103448275862,56795.85057471264,662.8924446105957
100,5,5,4492,197277782,182,2184,2.0567765567765566,90328.65476190476,820.1972849369049
150,5,5,6571,288555396,266,3192,2.0585839598997495,90399.56015037594,1169.6593046188354
50,10,5,3500,173897280,215,2580,1.3565891472868217,67402.04651162791,951.2988407611847
100,10,5,6973,346426900,272,3264,2.1363357843137254,106135.69240196078,1204.858449935913
150,10,5,10380,515646182,397,4764,2.1788413098236776,108238.07346767423,1722.5968401432037
